epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,4677.85,0.67388,0.43147,0.95792,0.6887,0.65674,0.65475,0.39867,1.46107,1.37025,1.67714,0.00025075,0.00025075,0.00025075
157,4707.37,0.6833,0.44355,0.95929,0.68039,0.68806,0.66977,0.40618,1.47908,1.34064,1.69922,0.0002414,0.0002414,0.0002414
158,4736.69,0.67395,0.44266,0.95591,0.67171,0.71976,0.67005,0.40257,1.47872,1.2973,1.71043,0.00023205,0.00023205,0.00023205
159,4766.27,0.68188,0.44451,0.96799,0.641,0.73356,0.65862,0.3961,1.48179,1.30351,1.71079,0.0002227,0.0002227,0.0002227
160,4796.58,0.67979,0.44813,0.96589,0.64724,0.71613,0.6553,0.40095,1.46883,1.399,1.67611,0.00021335,0.00021335,0.00021335
161,4826.23,0.6561,0.43932,0.95889,0.64836,0.73526,0.65664,0.40597,1.45296,1.37913,1.68103,0.000204,0.000204,0.000204
162,4855.52,0.68104,0.46712,0.96659,0.64194,0.70116,0.66037,0.40875,1.47204,1.36596,1.7009,0.00019465,0.00019465,0.00019465
163,4884.78,0.67658,0.45544,0.96484,0.65335,0.71268,0.66841,0.41286,1.46692,1.38365,1.70249,0.0001853,0.0001853,0.0001853
164,4914.92,0.64953,0.42964,0.95309,0.67246,0.72035,0.6705,0.4105,1.46588,1.36738,1.68328,0.00017595,0.00017595,0.00017595
165,4944.54,0.66054,0.42775,0.94495,0.68237,0.72313,0.67577,0.41298,1.45944,1.32821,1.68633,0.0001666,0.0001666,0.0001666
166,4973.91,0.64647,0.4293,0.95125,0.67009,0.74228,0.67625,0.41537,1.45094,1.28826,1.68459,0.00015725,0.00015725,0.00015725
167,5002.99,0.66363,0.43067,0.95605,0.6832,0.72963,0.67395,0.41083,1.46524,1.32616,1.70141,0.0001479,0.0001479,0.0001479
